,추린 산업분야
0,제조업
1,건설업
2,알선업
3,서비스업
4,공사업
5,종합 병원
6,제작업
7,방적업
8,상호저축은행 및 기타 저축기관
9,연구개발업
10,슈퍼마켓
11,배전업
12,기타제조업
13,공급업
14,임대업
15,발행업
16,관리업
17,일반 병원
18,소매업
19,운송업
20,인쇄업
21,운영업
22,재생업
23,중개업
24,출판업
25,목공사업
26,배관공급업
27,도매업
28,기획업
29,요양 병원
30,일반 의원
31,판매업
32,대행업
33,충전업
34,한방 병원
35,연구소·컨설팅·조사
36,종합건설업
37,디자인업
38,처리업
39,방송업
40,사정업
41,호텔업
42,통신업
43,분석업
44,가공업
45,제과점업
46,토공사업
47,제공업
48,제책업
49,그 외 기타 협회 및 단체
50,컨설팅업
51,단체
52,의료(병원종류별)
53,금속가공업
54,직업훈련학원
55,컴퓨터 학원
56,변호사업
57,제외)
58,공인회계사업
59,신용조합
60,피막처리업
61,법무사업
62,여신금융업
63,제강업
64,음식점업
65,운반업
66,평가업
67,직원훈련기관
68,제재업
69,작성업
70,기타 교습학원
71,생산업
72,그 외 기타 분류 안된 교육기관
73,투자업
74,수리업
75,금융업
76,유사처리업
77,일반 교과 학원
78,주조업
79,천주교 단체
80,청소업
81,측량업
82,수의업
83,기계·설비·자동차
84,재배업
85,치과 의원
86,창고업
87,전문공사업
88,전기·전자·제어
89,보건업
90,조판업
91,예식장업
92,선별업
93,법률·법무·특허
94,택배업
95,세무사업
96,간이음식 포장 판매 전문점
97,채취업
98,한의원
99,제분업
100,발전업
101,세탁업
102,외국어학원
103,대안학교
104,비공연 예술가
105,온라인 교육 학원
106,커피 전문점
107,촬영업
108,취급업
109,여관업
110,전문가 단체
111,체인화 편의점
112,집합투자업
113,도금업
114,대리업
115,관련서비스업
116,국내은행
117,욕탕업
118,탐사업
119,치킨 전문점
120,증권·보험·카드
121,운송·운수·물류
122,직조업
123,백화점
124,여행사업
125,추출업
126,한식 해산물요리 전문점
127,배급업
128,의료업
129,지주회사
130,여론조사업
131,한식 육류요리 전문점
132,구내식당업
133,미용업
134,전기업
135,열처리업
136,광고업
137,유통·무역·상사
138,일반 교습 학원
139,치과 병원
140,운전학원
141,광업
142,보험업
143,대학교
144,기타 스포츠 교육기관
145,복사업
146,도정업
147,일반 고등학교
148,외국인 학교
149,레크리에이션 교육기관
150,감정평가업
151,대형 마트
152,쇼핑몰·오픈마켓
153,환경·설비
154,세차업
155,일임업
156,기타금융
157,염색가공업
158,연극단체
159,어업
160,환경운동 단체
161,투자자문업
162,포털·인터넷·컨텐츠
163,사육업
164,음료점업
165,양돈업
166,유흥주점업
167,생맥주 전문점
168,표구처리업
169,기타서비스업
170,마사지업
171,무용 및 음악단체
172,석유·화학·에너지
173,배달업
174,숙박업
175,주점업
176,음악학원
177,금융리스업
178,IT컨설팅
179,할부금융업
180,학원·어학원
181,부동산·임대·중개
182,유아·유치원
183,뷰티·미용
184,중학교
185,식품가공·개발
186,변리사업
187,초등학교
188,강무근
189,재판매업
190,기타 공연단체
191,산업
192,전문대학
193,제조·화학
194,면세점
195,교육 행정
196,솔루션·SI·ERP·CRM
197,네트워크·통신·모바일
198,제약·보건·바이오
199,광고·홍보·전시
200,판매(매장종류별)
201,출판·인쇄·사진
202,은행·금융·저축
203,외식업·식음료
204,판매(상품품목별)
205,방송사·케이블
206,디자인·설계
207,건조업
208,매니저업
209,은행·금융업
210,생활용품·소비재·사무
211,기독교 단체
212,실내·인테리어·조경
213,일반 중등 교육기관
214,건설·건축·토목·시공
215,제철업
216,민박업
217,도축업
218,웨딩·장례·이벤트
219,한식 면요리 전문점
220,변경업
221,호텔·여행·항공
222,농업·어업·광업·임업
223,초중고·대학
224,태권도 및 무술 교육기관
225,예술학원
226,기타 특성화 고등학교
227,웹에이젼시
228,대출·캐피탈·여신
229,연예·엔터테인먼트
230,섬유·의류·패션
231,기타 시민운동 단체
232,김미숙
233,제외
234,협회·단체
235,재정 및 경제정책 행정
236,농림수산 행정
237,의료(진료과목별)
238,사회서비스 관리 행정
239,하드웨어·장비
240,방사선 진단 및 병리 검사 의원
241,복제업
242,정화업
243,정부기관 일반 보조 행정
244,양계업
245,복원업
246,레저·스포츠·여가
247,고등학교
248,환경
249,교재·학습지
250,조선·항공·우주
251,AS·카센터·주유
252,렌탈·임대
253,금속·재료·철강·요업
254,환경 행정
255,기타 협회 및 단체
256,문화 및 관광 행정
257,판매·유통
258,정제처리업
259,보관업
260,시설관리·경비·용역
261,방문 교육 학원
262,미술학원
263,세무·회계
264,제도업
265,신문·잡지·언론사
266,최동하
267,축산업
268,사회복지
269,육림업
270,사회보장 행정
271,우편업
272,재처리업
273,영림업
274,공연·예술·문화
275,전문·기능학원
276,사회교육시설
277,행정
278,국제 및 외국기관
279,가구·목재·제지
280,가구 내 고용활동
281,정부·공공기관·공기업
282,반도체·광학·LCD
283,그 외 기타 교육기관
284,신용조합 및 저축기관
285,인력공급업
286,공연 예술가
287,"대기업,1000대기업"
288,IT·웹·통신
289,보건 및 복지 행정
290,외국은행
291,연금업
292,미디어·디자인
293,채굴업
294,1000대기업
